subjectAuthorizedFormOfName,relationType,objectAuthorizedFormOfName,description,date,startDate,endDate,culture
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Alércio Dias","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Alércio Dias","Suplente da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Alércio Dias","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Alexandre Puzyna","Titular da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"Alexandre Puzyna","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Alexandre Puzyna","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Alexandre Puzyna","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Aloísio Vasconcelos","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Aloísio Vasconcelos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Aloísio Vasconcelos","Titular da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Aloísio Vasconcelos","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Aloysio Chaves","Titular da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"Aloysio Chaves","Relator da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Aloysio Chaves","Suplente da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Aloysio Chaves","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Aloysio Teixeira","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Aloysio Teixeira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Aloysio Teixeira","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Aloysio Teixeira","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Aluízio Campos","Suplente da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"Aluízio Campos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Alvaro Antonio","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Alvaro Antonio","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Alvaro Antonio","Suplente da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Alvaro Antonio","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Álvaro Valle","Suplente da Comissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Álvaro Valle","Titular da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"Álvaro Valle","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Alysson Paulinelli","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Alysson Paulinelli","Titular da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Alysson Paulinelli","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Alysson Paulinelli","Suplente da Comissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Amaury Muller","Titular da Comissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Amaury Muller","Suplente da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Amaury Muller","Suplente da Subcomissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Amaury Muller","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Amilcar Moreira","Titular da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"Amilcar Moreira","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Amilcar Moreira","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Amilcar Moreira","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Ângelo Magalhães","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Ângelo Magalhães","Titular da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Ângelo Magalhães","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Ângelo Magalhães","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Anna Maria Rattes","2º Vice-Presidente",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Anna Maria Rattes","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Anna Maria Rattes","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Negros, Populações Indígenas, Pessoas Deficientes e Minorias",associativo,"Anna Maria Rattes","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Annibal Barcellos","Titular da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"Annibal Barcellos","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Annibal Barcellos","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Annibal Barcellos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Antero de Barros","Titular da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Antero de Barros","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Antero de Barros","Suplente da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Antero de Barros","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Antônio Britto","Titular da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Antônio Britto","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Britto","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Britto","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Antônio Carlos Konder Reis","Suplente da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Antônio Carlos Konder Reis","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Antônio Carlos Franco","Suplente da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Antônio Carlos Franco","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Antônio Carlos Franco","Titular da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Antônio Carlos Franco","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Antonio Carlos de Mendes Thame","Suplente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Antonio Carlos de Mendes Thame","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Antônio de Jesus","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Antônio de Jesus","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antônio de Jesus","Titular da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"Antônio de Jesus","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Antonio Ferreira","Titular da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"Antonio Ferreira","2º Vice-Presidente da Subcomissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"Antonio Ferreira","Titular da Comissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"Antonio Ferreira","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Antonio Ferreira","Suplente da Comissão",null,,,pt_BR
"Subcomissão do Sistema Financeiro",associativo,"Antônio Gaspar","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Gaspar","Titular da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Gaspar","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Antônio Gaspar","Suplente da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Antônio Perosa","Titular da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Antônio Perosa","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Antônio Perosa","Suplente da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Antônio Perosa","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Antônio Salim Curiati","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Antônio Salim Curiati","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Salim Curiati","Titular da Comissão",,,,pt_BR
"Subcomissão da Família do Menor e do Idoso",associativo,"Antônio Salim Curiati","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Antonio Ueno","Titular da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Antonio Ueno","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antonio Ueno","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Antonio Ueno","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Arnaldo Martins","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"Arnaldo Martins","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Arnaldo Martins","Titular da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Arnaldo Martins","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Arnaldo Moraes","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Arnaldo Moraes","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Arnaldo Moraes","Titular da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Arnaldo Moraes","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Arnaldo Prieto","Suplente da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"Arnaldo Prieto","Suplente da Subcomissão",,,,pt_BR
